name,email,date_of_birth,mobile_no,firstname,lastname,age,above_18
Tony Shepherd,Tony_Shepherd@petersen.com,07/03/2016,711447,Tony,Shepherd,5,False
Sherry Gonzalez,Sherry_Gonzalez@caldwell.biz,14-03-1973,66744895,Sherry,Gonzalez,48,True
Ashlee Austin,Ashlee_Austin@melendez.com,12/09/1992,6454197,Ashlee,Austin,29,True
David Brown,David_Brown@jackson-smith.biz,2001-09-22,69082983,David,Brown,20,True
Marc Meyer,Marc_Meyer@chavez.com,1996/05/17,9727376,Marc,Meyer,25,True
Denise Glass,Denise_Glass@calderon.org,1982-05-31,77863943,Denise,Glass,39,True
Emily Christian,Emily_Christian@hardy-ball.biz,1993/11/27,83586,Emily,Christian,28,True
Billy Knight,Billy_Knight@thomas.biz,01/27/1955,4983 3743,Billy,Knight,66,True
Shane Davis,Shane_Davis@smith.net,2006/06/25,42361783,Shane,Davis,15,False
Laura Harding,Laura_Harding@jackson.com,2017-12-18,32048503,Laura,Harding,4,False
Zachary Payne,Zachary_Payne@espinoza.info,17-02-2018,7802719,Zachary,Payne,3,False
Jeffery Leon,Jeffery_Leon@clark.com,2004-03-24,9076271,Jeffery,Leon,17,False
Jennifer Martin,Jennifer_Martin@anderson-ford.com,1999-01-12,1878563,Jennifer,Martin,22,True
Lori Zimmerman,Lori_Zimmerman@smith-bradley.biz,1998-02-17,14572007,Lori,Zimmerman,23,True
Katie Mcgee,Katie_Mcgee@moran.com,25-06-1967,65726,Katie,Mcgee,54,True
Michael Parker,Michael_Parker@mcfarland-johns.com,1984-10-03,569205,Michael,Parker,37,True
Robert Atkins,Robert_Atkins@west.net,09-11-2017,831963,Robert,Atkins,4,False
Stephanie Brown,Stephanie_Brown@mueller-simmons.info,08-06-1976,8354970,Stephanie,Brown,45,True
Erin Paul,Erin_Paul@vaughan-moore.com,12/22/2008,923211,Erin,Paul,13,False
Kristina Torres,Kristina_Torres@wilson.com,02/17/1956,65486,Kristina,Torres,65,True
